eapi-scmariba-st.starbucks.com                          98.99.253.30
eapi-sd.starbucks.com                                   34.237.118.231
eapi-ss.starbucks.com                                   34.237.118.231
eapi.starbucks.com                                      34.237.118.118
eastus.digitalcart-cert.starbucks.com                   40.71.0.179
eastus.digitalcart-dev.starbucks.com                    40.71.11.133
eastus.digitalcart.starbucks.com                        40.71.11.136
eastus.digitalcart-test.starbucks.com                   40.71.11.142
eastus-svcardproxydevus.starbucks.com                   52.188.201.0
eastus-svcardproxyloadus.starbucks.com                  168.61.34.140
eastus-svcardproxytestus.starbucks.com                  40.76.26.24
eastus-svcardproxyus.starbucks.com                      13.68.196.2
ebm.a.starbucks.com                                     207.251.96.244
ebm.e.starbucks.com                                     207.251.96.243
edam.starbucks.com                                      204.74.99.103
edap-nonprod.starbucks.com                              20.40.202.4
edap-preprod.starbucks.com                              52.173.149.254
edap.starbucks.com                                      20.40.202.3
edge.starbucks.com                                      98.99.248.54
egiftteams.starbucks.com                                13.107.246.13
egiftteamstest.starbucks.com                            13.107.246.13
ehd-help.starbucks.com                                  98.99.248.202
email.mg.starbucks.com                                  52.38.102.245
en-ca.test.starbucks.com                                23.199.39.201
en-gb.dev.starbucks.com                                 23.203.2.9
en-gb.test.starbucks.com                                23.199.39.201
en-ie.test.starbucks.com                                23.199.39.201
e.ns.a.starbucks.com                                    207.251.96.133
e.ns.e.starbucks.com                                    207.251.96.133
e.ns.e.stories.starbucks.com                            207.251.96.133
en.starbucks.com.cy                                     23.199.49.27
en.starbucks.com.gr                                     104.26.0.67
en-us.test.starbucks.com                                23.199.39.201
epmcert.starbucks.com                                   98.99.254.173
e.starbucks.com                                         63.232.56.46
e.stories.starbucks.com                                 207.251.96.19
ews-chd.starbucks.com                                   98.99.250.18
ews-iad2.starbucks.com                                  98.99.254.18
ews-iad.starbucks.com                                   98.99.254.99
ews.starbucks.com                                       98.99.254.18
expsettingscert.starbucks.com                           13.107.246.13
expsettingsdev.starbucks.com                            13.107.246.13
expsettings.starbucks.com                               13.107.246.13
expsettingstest.starbucks.com                           13.107.246.13
ext-api-rwa.starbucks.com                               98.99.254.113
ext.starbucks.com                                       98.99.252.34
Ext.starbucks.com                                       98.99.252.34
f.a.starbucks.com                                       63.211.90.252
fb1.starbucks.com                                       69.28.231.174
federate2.starbucks.com                                 98.99.252.148
federate.starbucks.com                                  98.99.252.119
f.e.starbucks.com                                       23.199.50.19
fintech-asp-ct.starbucks.com                            13.91.82.3
fintech-asp-sd.starbucks.com                            13.93.196.2
fintech-asp.starbucks.com                               40.85.145.38
f.ns.a.starbucks.com                                    207.251.96.134
f.ns.e.starbucks.com                                    207.251.96.134
f.ns.e.stories.starbucks.com                            207.251.96.134
focus-rest-ct.starbucks.com                             40.78.123.109
focus-rest-pd.starbucks.com                             13.64.236.170
focus-rest.starbucks.com                                40.78.10.161
fr-ca.test.starbucks.com                                23.199.39.201
fr-fr.test.starbucks.com                                23.199.39.201
gasianet.starbucks.com                                  42.99.129.17
gd.cdx.starbucks.com                                    35.226.134.126
gd.ucp.starbucks.com                                    35.226.134.126
geo-cert.starbucks.com                                  98.99.254.204
geo-server-cert.starbucks.com                           98.99.254.205
gist.scm.starbucks.com                                  98.99.254.230
gist.scmtest.starbucks.com                              98.99.252.195
givegood.starbucks.com                                  204.74.99.103
globalassetshost.starbucks.com                          107.162.135.91
globalassets.starbucks.com                              23.211.75.75
global-chd.starbucks.com                                204.239.150.30
globalpreview.starbucks.com                             98.99.252.65
globalsecureui.starbucks.com                            98.99.252.122
Globalsecureui.starbucks.com                            98.99.252.122
globalstage.starbucks.com                               98.99.252.42
globalstagewcmsvcs.starbucks.com                        204.238.150.32
globalstandards.starbucks.com                           104.18.18.63
globalstandardstest.starbucks.com                       104.18.23.50
globalwcmsvcs2.starbucks.com                            98.99.252.62
global-wcmsvcs-chd.starbucks.com                        204.238.150.33
globalwcmsvcs-iad.starbucks.com                         98.99.252.62
globalwcmsvcs.starbucks.com                             98.99.252.62
green-iad.starbucks.com                                 98.99.252.63
green.starbucks.com                                     107.162.134.102
groupon.starbucks.com                                   52.72.138.138
gr.starbucks.com                                        204.74.99.103
gsoc-help.starbucks.com                                 98.99.248.202
gtm-chd.starbucks.com                                   98.99.250.190
happyhour.starbucks.com                                 204.74.99.103
help.starbucks.com                                      98.99.248.202
historias.starbucks.com                                 13.225.53.44
host.openapi-chd.starbucks.com                          204.238.150.56
host.openapi.starbucks.com                              98.99.252.64
hybrid-chd.starbucks.com                                98.99.250.122
hybrid-iad2.starbucks.com                               98.99.254.177
hybrid-iad.starbucks.com                                98.99.254.122
hybrid.starbucks.com                                    98.99.254.177
Hybrid.starbucks.com                                    98.99.254.177
hybrisdevmail.starbucks.com                             209.202.184.148
hybrisprodmail.starbucks.com                            209.202.184.147
i.a.starbucks.com                                       184.29.148.160
icommerceagent.starbucks.com                            192.157.74.131
id-cert.gtm.starbucks.com                               98.99.254.41
id-cert.starbucks.com                                   98.99.254.41
id-chd.starbucks.com                                    98.99.250.9
id-dev.gtm.starbucks.com                                98.99.254.40
id-dev-iad.starbucks.com                                98.99.254.40
id-dev.starbucks.com                                    98.99.254.40
